uni_name,state,status,uni_type,url
"Sri Balaji University, Pune",Maharashtra,2(f),Private,https://www.sbup.edu.in
Sri Balaji Vidyapeeth,Puducherry,Section-III & 12(B),Deemed to be Universities,https://www.sbvu.ac.in
Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya,Tamil Nadu,Section-III,Deemed to be Universities,https://kanchiuniv.ac.in
Sri Dev Suman Uttarakhand Vishwavidyalaya,Uttarakhand,2(f),State,https://sdsuv.ac.in
Sri Devraj Urs Academy of Higher Education and Research,Karnataka,Section-III,Deemed to be Universities,https://www.sduu.ac.in
Sri Guru Granth Sahib World University,Punjab,2(f),Private,https://www.sggswu.edu.in
Sri Guru Ram Das University of Health Sciences,Punjab,2(f),Private,https://www.sgrduhs.in
Sri Konda Laxman Telangana State Horticultural University,Telangana,2(f),State,https://skltshu.ac.in
Sri krishnadevaraya University,Andhra Pradesh,2(f) & 12(B),State,https://skuniversity.ac.in
Sri Padmavati Mahila Vishwavidyalayam,Andhra Pradesh,2(f) & 12(B),State,https://www.spmvv.ac.in
Sri Ramachandra Institute of Higher Education and Research,Tamil Nadu,Section-III & 12(B),Deemed to be Universities,https://www.sriramachandra.edu.in
Sri Sai University,Himachal Pradesh,2(f),Private,https://www.srisaiuniversity.org
Sri Sathya Sai Institute of Higher Learning,Andhra Pradesh,Section-III & 12(B),Deemed to be Universities,https://www.sssihl.edu.in
Sri Satya Sai University of Technology & Medical Sciences,Madhya Pradesh,2(f) & 12(B),Private,https://sssutms.co.in
Sri Siddhartha Academy of Higher Education,Karnataka,Section-III,Deemed to be Universities,https://www.sahetumkur.ac.in
Sri Sri Aniruddhdeva Sports University,Assam,2(f),State,https://www.sasu.ac.in
Sri Sri University,Odisha,2(f) & 12(B),Private,https://srisriuniversity.edu.in
Sri Venkateswara Institute of Medical Sciences,Andhra Pradesh,2(f) & 12(B),State,https://svimstpt.ap.nic.in
Sri Venkateswara University,Andhra Pradesh,2(f) & 12(B),State,https://svuniversity.edu.in
Sri Venkateswara Vedic University,Andhra Pradesh,2(f),State,https://www.svvedicuniversity.ac.in
Sri Venkateswara Veterinary University,Andhra Pradesh,2(f) & 12(B),State,https://www.svvu.edu.in
Srimanta Sankaradeva University of Health Sciences,Assam,2(f),State,https://ssuhs.in
Srinivas University,Karnataka,2(f),Private,https:// www.srinivasuniversity.edu.in
SRM University,Andhra Pradesh,2(f),Private,https://srmap.edu.in
SRM University,Haryana,2(f),Private,https://www.srmuniversity.ac.in
St. Aloysius,Karnataka,Section-III,Deemed to be Universities,https://www.staloysius.edu.in
St. Joseph University,Nagaland,2(f),Private,https://www.stjosephuniv.edu.in
St. Joseph's University,Karnataka,2(f),Private,https://sju.edu.in
St. Peter’s Institute of Higher Education and Research,Tamil Nadu,Section-III,Deemed to be Universities,https://www.spiher.ac.in
"St. Xavier's University, Kolkata",West Bengal,2(f),Private,https://sxuk.edu.in/default.htm
Starex University,Haryana,2(f),Private,https://www.starexuniversity.com
Sumandeep Vidyapeeth,Gujarat,Section-III,Deemed to be Universities,https://www.sumandeepvidyapeethdu.edu.in
Surendranagar University,Gujarat,2(f),Private,https://suni.ac.in
Suresh Gyan Vihar University,Rajasthan,2(f),Private,https://www.gyanvihar.org
Sushant University (Formerly Ansal University),Haryana,2(f),Private,https://sushantuniversity.edu.in
Swami Keshwanand Rajasthan Agricultural University,Rajasthan,2(f),State,https://www.raubikaner.org
Swami Rama Himalayan University,Uttarakhand,2(f),Private,https://www.srhu.edu.in
Swami Ramanand Teerth Marathwada University,Maharashtra,2(f) & 12(B),State,https://www.srtmun.org
Swami Vivekanand University,Madhya Pradesh,2(f),Private,https://www.svnuniversity.co.in
Swami Vivekananda Subharti University,Uttar Pradesh,2(f),Private,https://subharti.org
Swami Vivekananda University,West Bengal,2(f),Private,https://www.swamivivekanandauniversity.ac.in
Swami Vivekananda Yoga Anusandhana Samsthana,Karnataka,Section-III & 12(B),Deemed to be Universities,https://svyasa.edu.in
Swarnim Gujarat Sports University,Gujarat,2(f),State,https://sgsu.gujarat.gov.in
Swarnim Startup & Innovation University,Gujarat,2(f),Private,https://www.swarrnim.edu.in
Symbiosis International University,Maharashtra,Section-III & 12(B),Deemed to be Universities,https://www.siu.edu.in
Symbiosis Skills and Professional University (Formerly Symbiosis Skill and Open University),Maharashtra,2(f),Private,https://www.sspu.ac.in
Symbiosis University of Applied Sciences (SUAS),Madhya Pradesh,2(f),Private,https://www.suas.ac.in
T. S. Mishra University,Uttar Pradesh,2(f),Private,https://tsm.edu.in
T.M. Bhagalpur University,Bihar,2(f) & 12(B),State,https://www.tmbu.org
Tamil Nadu Fisheries University,Tamil Nadu,2(f) & 12(B),State,https://www.tnfu.org.in/university/wp
Tamil Nadu Open University,Tamil Nadu,2(f) & 12(B),State,https://www.tnou.ac.in
Tamil Nadu Physical Education and Sports University,Tamil Nadu,2(f),State,https://www.tnpesu.org
Tamil Nadu Teacher Education University,Tamil Nadu,2(f) & 12(B),State,https://tnteu.ac.in
Tamil University,Tamil Nadu,2(f) & 12(B),State,https://www.tamiluniversity.ac.in
Tamilnadu Agricultural University,Tamil Nadu,2(f) & 12(B),State,https://www.tnau.ac.in
Tamilnadu Dr. Ambedkar Law University,Tamil Nadu,2(f) & 12(B),State,https://www.tndalu.ac.in
Tamilnadu Dr. M.G.R.Medical University,Tamil Nadu,2(f) & 12(B),State,https://www.tnmgrmu.ac.in
Tamilnadu National Law University,Tamil Nadu,2(f) & 12(B),State,https://tnnlu.ac.in
Tamilnadu Veterinary & Animal Sciences University,Tamil Nadu,2(f) & 12(B),State,https://www.tanuvas.ac.in
Tantia University,Rajasthan,2(f),Private,https://tantiauniversity.com
Tata Institute of Fundamental Research,Maharashtra,Section-III & 12(B),Deemed to be Universities,https://www.tifr.res.in
Tata Institute of Social Sciences,Maharashtra,Section-III & 12(B),Deemed to be Universities,https://www.tiss.edu
Techno India University,West Bengal,2(f),Private,https://technoindiauniversity.ac.in
Techno India University,Tripura,2(f),Private,https://www.tiut.ac.in
Teerthanker Mahaveer University,Uttar Pradesh,2(f) & 12(B),Private,https://www.tmu.ac.in
Telangana University,Telangana,2(f) & 12(B),State,https://www.telanganauniversity.ac.in
TERI School of Advanced studies,Delhi,Section-III,Deemed to be Universities,https://www.terisas.ac.in/index.php
Tezpur University,Assam,2(f) & 12(B),Central,https://www.tezu.ernet.in
Thapar Institute of Engineering & Technology,Punjab,Section-III,Deemed to be Universities,https://www.thapar.edu
The Apollo University,Andhra Pradesh,2(f),Private,https://apollouniversity.edu.in
The Aryavart International University,Tripura,2(f),Private,https://aiuniversity.co.in
The Assam Kaziranga University,Assam,2(f),Private,https://kazirangauniversity.in
The Assam Royal Global University,Assam,2(f),Private,https://www.rgu.ac
The Bengal Engineering & Science University,West Bengal,2(f),State,https://www.becs.ac.in
The Charutar Vidya Mandal(CVM) University,Gujarat,2(f),Private,https://www.cvmu.edu.in
The Dhamma Dipa International Buddhist University,Tripura,2(f),Private,https://www.ddibu.in
The Gandhiigram Rural Institute,Tamil Nadu,Section-III & 12(B),Deemed to be Universities,https://www.ruraluniv.ac.in
The Global Open University,Nagaland,2(f),Private,https://nagaland.net.in
The Global University,Arunachal Pradesh,2(f),Private,https://www.theglobaluniversity.edu.in
The ICFAI University,Tripura,2(f),Private,https://www.iutripura.edu.in
The ICFAI University,Uttarakhand,2(f),Private,https://www.iudehradun.edu.in
The ICFAI University Sikkim,Sikkim,2(f),Private,https://www.iusikkim.edu.in
The Indira Gandhi National Tribal University,Madhya Pradesh,2(f) & 12(B),Central,https://www.igntu.ac.in
The Institute of Chartered Financial Analysts of India University,Mizoram,2(f),Private,https://www.iumizoram.edu.in
The Institute of Chartered Financial Analysts of India University,Meghalaya,2(f),Private,https://www.iumeghalaya.edu.in
The Institute of Chartered Financial Analysts of India University,Jharkhand,2(f),Private,https://www.iujharkhand.edu.in
The LNM Institute of Information Technology,Rajasthan,Section-III,Deemed to be Universities,https://www.lnmiit.ac.in
The Maharaja Bhupinder Singh Punjab Sports University,Punjab,2(f),State,https://mbspsu.ac.in/en
The National Law University of Meghalaya,Meghalaya,2(f),State,https://www.nlumeg.ac.in
The Neotia University,West Bengal,2(f),Private,https://www.tnu.in
The Northcap University ( Formerly ITM University),Haryana,2(f) & 12(B),Private,https://ncuindia.edu
The Rajiv Gandhi National University of Law,Punjab,2(f) & 12(B),State,https://www.rgnul.ac.in
The Sanskrit College and University,West Bengal,2(f),State,https://www.sanskritcollegeanduniversity.org.in
The SVKM NMIMS Global University,Maharashtra,2(f),Private,https://svkm.ac.in
The Tamil Nadu Dr.J Jayalalithaa Music and Fine Arts University,Tamil Nadu,2(f),State,https://tnjjmfau.in
The University of Trans-Disciplinary Health Sciences and Technology,Karnataka,2(f),Private,https://www.tdu.edu.in
The West Bengal National University of Juridical Science,West Bengal,2(f) & 12(B),State,https://www.nujs.edu
The West Bengal University of Health Sciences,West Bengal,2(f) & 12(B),State,https://wbuhs.ac.in
Thiruvalluvar University,Tamil Nadu,2(f) & 12(B),State,https://www.tvu.edu.in
Thunchath Ezhuthachan Malayalam University,Kerala,2(f) & 12(B),State,https://malayalamuniversity.edu.in/en
Tilak Maharashtra Vidyapeeth,Maharashtra,Section-III,Deemed to be Universities,https://www.tmv.edu.in
Tripura University,Tripura,2(f) & 12(B),Central,https://tripurauniv.ac.in
Tumkur University,Karnataka,2(f) & 12(B),State,https://www.tumkuruniversity.ac.in
U.P. Pandit Deen Dayal Upadhyaya Pashu Chikitsa Vigyan Vishwavidhyalaya Evam Go-Anusandhan Sansthan,Uttar Pradesh,2(f),State,https://www.upvetuniv.edu.in
U.P. Rajarshi Tandon Open University,Uttar Pradesh,2(f),State,https://www.uprtou.ac.in
U.P.King George's University of Dental Sciences,Uttar Pradesh,2(f),State,https://www.kgmcindia.edu
UKA Tarsadia University,Gujarat,2(f),Private,https://utu.ac.in
United University,Uttar Pradesh,2(f),Private,https://uniteduniversity.edu.in
Universal Ai University,Maharashtra,2(f),Private,https://www.universalai.in
University of Agricultural Sciences Banglore,Karnataka,2(f) & 12(B),State,https://www.uasbangalore.edu.in
University of Agricultural Sciences Dharwad,Karnataka,2(f) & 12(B),State,https://www.uasd.edu
University of Allahabad,Uttar Pradesh,2(f) & 12(B),Central,https://allduniv.ac.in
University of Delhi,Delhi,2(f) & 12(B),Central,https://www.du.ac.in
University of Engineering & Management,Rajasthan,2(f),Private,https://www.jaipur.uem.edu.in
University of Engineering and Management,West Bengal,2(f),Private,https://uem.edu.in/uem-kolkata
University of Engineering and Technology Roorkee,Uttarakhand,2(f),Private,https://coeruniversity.in
University of Gour Banga,West Bengal,2(f) & 12(B),State,https://www.ugb.ac.in
University of Horticultural Sciences,Karnataka,2(f),State,https://www.uhsbagalkot.edu.in
University of Hyderabad,Telangana,2(f) & 12(B),Central,https://www.uohyd.ac.in
University of Kota,Rajasthan,2(f) & 12(B),State,https://www.uok.ac.in
University of Ladakh,Ladakh,2(f),State,https://uol.ac.in
University of Lucknow,Uttar Pradesh,2(f) & 12(B),State,https://www.lkouniv.ac.in
University of North Bengal,West Bengal,2(f) & 12(B),State,https://www.nbu.ac.in
University of Patanjali,Uttarakhand,2(f),Private,https://patanjaliuniversity.com
University of Petroleum and Energy Studies,Uttarakhand,2(f),Private,https://www.upes.ac.in
"University of Science & Technology, Meghalaya",Meghalaya,2(f),Private,https://www.ustm.ac.in
University of Technology,Rajasthan,2(f),Private,https://www.uot.edu.in
University of Visvesvaraya College of Engineering,Karnataka,2(f),State,https://uvce.ac.in
Usha Martin University,Jharkhand,2(f),Private,https://www.umu.ac.in
Utkal University,Odisha,2(f) & 12(B),State,https://www.utkaluniversity.ac.in
Utkal University of Culture,Odisha,2(f),State,https://www.uuc.ac.in
Uttar Banga Krishi Vishwavidyalaya,West Bengal,2(f),State,https://www.ubkv.ac.in
Uttar Pradesh University of Medical Sciences,Uttar Pradesh,2(f),State,https://www.upums.ac.in
Uttarakhand Ayurved University,Uttarakhand,2(f),State,https://www.uau.ac.in
Uttarakhand Open University,Uttarakhand,2(f),State,https://www.uou.ac.in
Uttarakhand Sanskrit University,Uttarakhand,2(f),State,https://www.usvv.ac.in
Uttarakhand Technical University,Uttarakhand,2(f),State,https://www.uktech.ac.in
Uttaranchal University,Uttarakhand,2(f) & 12(B),Private,https://www.uudoon.in
Vanita Vishram Women's University,Gujarat,2(f),Private,https://vvwusurat.ac.in
Vardhman Mahaveer Open University,Rajasthan,2(f) & 12(B),State,https://www.vmou.ac.in
Varun Arjun University,Uttar Pradesh,2(f),Private,https://www.vau.edu.in
Veer Bahadur Singh Purvanchal University,Uttar Pradesh,2(f) & 12(B),State,https://www.vbspu.ac.in/index
Veer Chandra Singh Garhwali Uttarakhand University of Horticulture & Forestry,Uttarakhand,2(f),State,https://www.uuhf.ac.in
Veer Kunwar Singh University,Bihar,2(f) & 12(B),State,https://vksu.ac.in
Veer Narmad South Gujarat University,Gujarat,2(f) & 12(B),State,https://www.vnsgu.ac.in
Veer Surendra Sai Institute of Medical Science and Research,Odisha,2(f) & 12(B),State,https://www.vimsar.ac.in
Veer Surendra Sai University of Technology,Odisha,2(f) & 12(B),State,https://www.vssut.ac.in
Veeranari Chakali Ilamma Women's University,Telangana,2(f),State,https://www.oucwkoti.ac.in
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Tamil Nadu,Section-III,Deemed to be Universities,https://www.veltech.edu.in
Vellore Institute of Technology,Tamil Nadu,Section-III,Deemed to be Universities,https://vit.ac.in
VELS Institute of Science Technology & Advanced Studies (VISTAS),Tamil Nadu,Section-III,Deemed to be Universities,https://www.velsuniv.ac.in
Venkateshwara Open University,Arunachal Pradesh,2(f),Private,https://www.vou.ac.in
Vesveswaraiah Technological University,Karnataka,2(f) & 12(B),State,https://www.vtu.ac.in
Vidhyadeep University,Gujarat,2(f),Private,https://www.vidhyadeepuni.ac.in
Vidya Sagar University,West Bengal,2(f) & 12(B),State,https://www.vidyasagar.ac.in
Vidya University,Uttar Pradesh,2(f),Private,https://vidya.edu.in
Vidyashilp University,Karnataka,2(f),Private,https://vidyashilp.edu.in
"Vignan's Foundation for Science, Technology and Research",Andhra Pradesh,Section-III & 12(B),Deemed to be Universities,https://vignan.ac.in
Vijayanagara Sri Krishnadevaraya University,Karnataka,2(f) & 12(B),State,https://www.vskub.ac.in
Vijaybhoomi University,Maharashtra,2(f),Private,https://vijaybhoomi.edu.in
Vikram University,Madhya Pradesh,2(f) & 12(B),State,https://vikramuniv.ac.in
Vikrama Simhapuri University,Andhra Pradesh,2(f) & 12(B),State,https://vsu.ac.in
Vinayaka Mission’s Research Foundation,Tamil Nadu,Section-III,Deemed to be Universities,https://vmrfdu.edu.in
Vinoba Bhave University,Jharkhand,2(f) & 12(B),State,https://www.vbu.co.in
Vishvakarma Skills University,Rajasthan,2(f),State,https://vsuraj.ac.in
Vishwakarma University,Maharashtra,2(f),Private,https://www.vupune.ac.in
Visva Bharati,West Bengal,2(f) & 12(B),Central,https://visvabharati.ac.in
VIT Bhopal University,Madhya Pradesh,2(f),Private,https://vitbhopal.ac.in
VIT-AP University,Andhra Pradesh,2(f),Private,https://vitap.ac.in
Vivek University,Uttar Pradesh,2(f),Private,https://www.vivekuniversity.ac.in
Vivekananda Global University,Rajasthan,2(f),Private,https://www.vgu.ac.in
West Bengal State University,West Bengal,2(f) & 12(B),State,https://www.wbsubregistration.org
West Bengal University of Animal and Fishery Sciences,West Bengal,2(f) & 12(B),State,https://wbuafscl.ac.in
"West Bengal University of Teachers, Training, Education Planning and Administration",West Bengal,2(f),State,https://www.wbuttepa.ac.in
William Carey University,Meghalaya,2(f),Private,https://www.williamcareyuniversity.ac.in
World University Of Design,Haryana,2(f),Private,https://worlduniversityofdesign.ac.in
Woxsen University,Telangana,2(f),Private,https://woxsen.edu.in
XIM university,Odisha,2(f) & 12(B),Private,https://xub.edu.in
Yashwant Rao Chavan Maharashtra Open University,Maharashtra,2(f) & 12(B),State,https://www.ycmou.ac.in
YBN University,Jharkhand,2(f),Private,https://ybnu.ac.in
Yenepoya,Karnataka,Section-III,Deemed to be Universities,https://yenepoya.edu.in
Yogi Vemana University,Andhra Pradesh,2(f) & 12(B),State,https://yvu.edu.in
Young India Skills University,Telangana,2(f),State,https://yisu.in
