uni_name,Zip,state,status,url,uni_type,ID
University of Ladakh,194101,Ladakh,2(f),https://uol.ac.in,State,1069
University of Lucknow,226007,Uttar Pradesh,2(f) & 12(B),http://www.lkouniv.ac.in,State,304
University of North Bengal,734013,West Bengal,2(f) & 12(B),http://www.nbu.ac.in,State,341
University of Visvesvaraya College of Engineering,560001,Karnataka,2(f),https://uvce.ac.in,State,1208
Utkal University,751 004,Odisha,2(f) & 12(B),http://www.utkaluniversity.ac.in,State,413
Utkal University of Culture,752054,Odisha,2(f),http://www.uuc.ac.in,State,414
Uttar Banga Krishi Vishwavidyalaya,736165,West Bengal,2(f),https://www.ubkv.ac.in,State,491
Uttar Pradesh University of Medical Sciences,206130,Uttar Pradesh,2(f),https://www.upums.ac.in,State,900
Uttarakhand Ayurved University,248001,Uttarakhand,2(f),http://www.uau.ac.in,State,725
Uttarakhand Open University,263139,Uttarakhand,2(f),http://www.uou.ac.in,State,576
Uttarakhand Sanskrit University,249 402,Uttarakhand,2(f),https://www.usvv.ac.in,State,416
Uttarakhand Technical University,248007,Uttarakhand,2(f),http://www.uktech.ac.in,State,417
Vardhman Mahaveer Open University,324021,Rajasthan,2(f) & 12(B),http://www.vmou.ac.in,State,418
Veer Bahadur Singh Purvanchal University,,Uttar Pradesh,2(f) & 12(B),http://www.vbspu.ac.in/index,State,419
Veer Chandra Singh Garhwali Uttarakhand University of Horticulture & Forestry ,246123,Uttarakhand,2(f),https://www.uuhf.ac.in,State,741
Veer Kunwar Singh University,802301,Bihar,2(f) & 12(B),https://vksu.ac.in,State,420
Veer Narmad South Gujarat University,395007,Gujarat,2(f) & 12(B),http://www.vnsgu.ac.in,State,387
Veer Surendra Sai Institute of Medical Science and Research,768017,Odisha,2(f) & 12(B),http://www.vimsar.ac.in,State,944
Veer Surendra Sai University of Technology,768018,Odisha,2(f) & 12(B),http://www.vssut.ac.in,State,421
Veeranari Chakali Ilamma Women's University,500095,Telangana,2(f),https://www.oucwkoti.ac.in,State,1344
Vesveswaraiah Technological University,590018,Karnataka,2(f) & 12(B),http://www.vtu.ac.in,State,422
Vidya Sagar University,,West Bengal,2(f) & 12(B),http://www.vidyasagar.ac.in,State,490
Vijayanagara Sri Krishnadevaraya University,583105,Karnataka,2(f) & 12(B),http://www.vskub.ac.in,State,564
Vikram University,456 010,Madhya Pradesh,2(f) & 12(B),http://vikramuniv.ac.in,State,424
Vikrama Simhapuri University,524324,Andhra Pradesh,2(f) & 12(B),https://vsu.ac.in,State,423
Vinoba Bhave University,,Jharkhand,2(f) & 12(B),http://www.vbu.co.in,State,425
Vishvakarma Skills University,302015,Rajasthan,2(f),https://vsuraj.ac.in,State,931
West Bengal State University,700126,West Bengal,2(f) & 12(B),http://www.wbsubregistration.org,State,487
West Bengal University of Animal and Fishery Sciences,700037,West Bengal,2(f) & 12(B),http://wbuafscl.ac.in,State,489
"West Bengal University of Teachers, Training, Education Planning and Administration",700019,West Bengal,2(f),https://www.wbuttepa.ac.in,State,805
Yashwant Rao Chavan Maharashtra Open University,422222,Maharashtra,2(f) & 12(B),https://www.ycmou.ac.in,State,426
Yogi Vemana University ,516005,Andhra Pradesh,2(f) & 12(B),https://yvu.edu.in,State,427
Young India Skills University,600032,Telangana,2(f),https://yisu.in,State,1326
